,曲名,収録CD,リリース年,タイアップ、備考,クレジット,タイプ,再生回数,収録回数,再生回数_日付
23,PIKA☆NCHI,PIKA☆NCHI | How's it going?,2002,映画「ピカ☆ンチ LIFE IS HARDだけどHAPPY」主題歌,作詞：相田毅 / 作曲：谷本新 / 編曲：CHOKKAKU,シングル,19,8,20241110 08:40:26
24,道,PIKA☆NCHI,2002,映画「ピカ☆ンチ LIFE IS HARDだけどHAPPY」挿入歌,作詞：河原雅彦 / 作曲・編曲：辻陽,カップリング,0,0,20241110 08:40:26
25,Theme of ARASHI,HERE WE GO!,2002,,"作詞：岩田雅之 / Rap詞：SHOW / 作曲・編曲：岩田雅之, Larry Hochman",アルバム,40,0,20241110 08:40:26
26,Easy Crazy Break Down,HERE WE GO!,2002,第33回「春の高校バレー」イメージソング,"作詞：戸沢暢美 / 作曲：Michael Clauss, Clas Wrigsell / 編曲：鈴木雅也",アルバム,1,1,20241110 08:40:26
27,君は少しも悪くない,HERE WE GO!,2002,,作詞：戸田暢美 / 作曲・編曲：岩田雅之,アルバム,1,1,20241110 08:40:26
28,Tokyo Lovers Tune Night,HERE WE GO!,2002,,"作詞：久保田洋司 / 作曲・編曲：Charles Hodgkinson, Sagat Guirey, Kirk Zavieh",アルバム,1,0,20241110 08:40:26
29,"ALL or NOTHING Ver,1.02",HERE WE GO! | ウラ嵐マニア,2002,,作詞：TAKESH AIDA / Rap詞：SHOW / 作曲・編曲：ZAKI,アルバム,23,0,20241110 08:40:26
30,眠らないカラダ,HERE WE GO!,2002,,"作詞：Tkaaki Amamoto / 作曲：Hiroshi Yamamoto / 編曲：Umito Yamamotokun, 安部潤",アルバム,1,1,20241110 08:40:26
31,君はいないから,HERE WE GO!,2002,,作詞：久保田洋司 / 作曲：寺田一郎 / 編曲：岩田雅之,アルバム,1,0,20241110 08:40:26
32,IROあせないで,HERE WE GO!,2002,森永乳業エスキモー「ピノ」CMソング,作詞：戸田暢美 / 作曲：飯田建彦 / 編曲：CHOKKAKU,アルバム,1,0,20241110 08:40:26
33,愛してると言えない,HERE WE GO!,2002,ブルボン「プチシリーズ」CMソング,作詞：戸田暢美 / 作曲・編曲：長岡成貢,アルバム,1,0,20241110 08:40:26
34,星のFreeWay,HERE WE GO!,2002,「ARASHI ファンツアー イン ハワイ」CMソング,作詞：比留間徹 / 作曲・編曲：ZAKI,アルバム,1,0,20241110 08:40:26
35,いま愛を語ろう,HERE WE GO!,2002,,作詞：六ツ見純代 / 作曲：飯田建彦 / 編曲：鈴木雅也,アルバム,1,0,20241110 08:40:26
36,WOW!!,HERE WE GO!,2002,,作詞・作曲・編曲：渡辺和紀,アルバム,1,1,20241110 08:40:26
37,とまどいながら,とまどいながら | How's it going?,2003,日本テレビ系ドラマ「よい子の味方～新米保育士物語～」主題歌,作詞・作曲・編曲：オオヤギヒロト,シングル,50,5,20241110 08:40:26
38,冬のニオイ,とまどいながら | ウラ嵐マニア,2003,,作詞・作曲：girls talk / 作曲：石塚知生,カップリング,2,0,20241110 08:40:26
39,君がいいんだ,とまどいながら | ウラ嵐マニア,2003,,作詞：戸田暢美 / Rap詞：SHOW / 作曲：清水昭男 / 編曲：宗像仁志,カップリング,1,0,20241110 08:40:26
40,コイゴコロ,とまどいながら | ウラ嵐マニア,2003,フジテレビ系「2003春の高校バレー」イメージソング,作詞・作曲：SILAS LEE / 編曲：安部潤,カップリング,2,0,20241110 08:40:26
41,ハダシの未来,ハダシの未来/言葉より大切なもの | いざッ、Now,2003,ザ コカ・コーラカンパニー「コカコーラ」CMソング,作詞・作曲：宮﨑歩 / 編曲：CHOKKAKU,シングル,391,19,20241110 08:40:26
42,言葉より大切なもの,ハダシの未来/言葉より大切なもの | いざッ、Now,2003,TBS系ドラマ「Stand Up!!」主題歌,作詞：TAKESHI / Rap詞：櫻井翔 / 作曲：飯田建彦 / 編曲：石塚知生,シングル,584,21,20241110 08:40:26
43,Crazy groundの王様,How's it going?,2003,,作詞：ma-saya / Rap詞：櫻井翔 / 作曲・編曲：大野宏明,アルバム,15,0,20241110 08:40:26
44,Lucky Man,How's it going? | 5×5 THE BEST SELECTION OF 2002←2004,2003,,作詞：尾崎雪絵 / Rap詞：櫻井翔 / 作曲：飯田建彦 / 編曲：大坪直樹,アルバム,496,17,20241110 08:40:26
45,身長差のない恋人,How's it going?,2003,,作詞：TAKESHI / 作曲・編曲：長岡成貢,アルバム,1,1,20241110 08:40:26
46,ONLY LOVE,How's it going?,2003,,"作詞：阿閉真琴 / 作曲：Ashley Cadell, BJ Caruama, John Collins / 編曲：石塚知生",アルバム,0,1,20241110 08:40:26
47,嵐のまえの静けさ,How's it going?,2003,,作詞：阿閉真琴 / 作曲：清水昭男 / 編曲：ha-j,アルバム,1,1,20241110 08:40:26
48,Blue,How's it going? | 5×5 THE BEST SELECTION OF 2002←2004,2003,,作詞・作曲：森元浩介 / 編曲：ha-j,アルバム,1,3,20241110 08:40:26
49,Walking in the rain,How's it going?,2003,,"作詞：SPIN / 作曲：Brian Hobbs, Jany Schella, Christian Svensson",アルバム,1,1,20241110 08:40:26
50,パレット,How's it going?,2003,,作詞：TAKESHI / Rap詞：櫻井翔 / 作曲・編曲：岩田雅之,アルバム,1,1,20241110 08:40:26
51,できるだけ,How's it going?,2003,,作詞：相田毅 / 作曲：森元康介 / 編曲：大坪直樹,アルバム,52,2,20241110 08:40:26
52,テ・アゲロ,How's it going?,2003,,作詞：久保田洋司 / 作曲：Patrick LIOTARD / 編曲：CHOKKAKU,アルバム,1,1,20241110 08:40:26
53,15th Moon,How's it going?,2003,,作詞：久保田洋司 / 作曲・編曲：Face 2 fAKE,アルバム,1,1,20241110 08:40:26
54,どんな言葉で,How's it going?,2003,,作詞・作曲・編曲：荒木真樹彦,アルバム,1,0,20241110 08:40:26
55,PIKA★★NCHI DOUBLE,PIKA★★NCHI DOUBLE | いざッ、Now,2004,映画「ピカ☆☆ンチ LIFE IS HARDだからHAPPY」主題歌,作詞：SPIN / Rap詞：櫻井翔 / 作曲：森元康介 / 編曲：石塚知生,シングル,583,17,20241110 08:40:26
56,五里霧中,PIKA★★NCHI DOUBLE | ウラ嵐マニア,2004,,作詞：久保田洋司 / Rap詞：櫻井翔 / 作曲：オオヤギヒロオ / 編曲：ha-j,カップリング,33,10,20241110 08:40:26
57,"道 DOUBLE Ver,",PIKA★★NCHI DOUBLE,2004,映画「ピカ☆☆ンチ LIFE IS HARDだからHAPPY」挿入歌,作詞：河原雅彦 / 作曲・編曲：辻陽,カップリング,0,0,20241110 08:40:26
58,瞳の中のGalaxy,瞳の中のGalaxy/Hero,2004,テレビ朝日系ドラマ「南くんの恋人」主題歌,作詞・作曲：藤井フミヤ / 編曲：CHOKKAKU,シングル,8,2,20241110 08:40:26
59,Hero,瞳の中のGalaxy/Hero,2004,日本テレビ系「2004 アテネオリンピック」イメージソング,作詞：SPIN / 作曲：谷本新 / 編曲：石塚知生,シングル,41,7,20241110 08:40:26
60,Hey Hey Lovin' You,瞳の中のGalaxy/Hero | ウラ嵐マニア,2004,,作詞：久世まりあ / 作曲：コモリタミノル / 編曲：CHOKKAKU,カップリング,234,1,20241110 08:40:26
61,JAM,いざッ、Now,2004,,"作詞：久保田洋司 / 作曲：Tobias Lindell, Joel Eriksson, Victor Wiszniewski / 編曲：岩田雅之",アルバム,1,1,20241110 08:40:26
62,The Bubble,いざッ、Now,2004,,"作詞：SPIN / Rap詞：櫻井翔 / 作曲：Peter Bjorklund, Joel Eriksson / 編曲：AKIRA",アルバム,1,0,20241110 08:40:26
63,Thank you for my days,いざッ、Now,2004,,作詞：TAKESHI / 作曲・編曲：岩田雅之,アルバム,1,0,20241110 08:40:26
64,EYES WITH DELIGHT,いざッ、Now,2004,,作詞：久保田洋司 / Rap詞：櫻井翔 / 作曲：コモリタミノル / 編曲：石塚知生,アルバム,176,5,20241110 08:40:26
65,RIGHT BACK TO YOU,いざッ、Now | 5×5 THE BEST SELECTION OF 2002←2004,2004,'04夏PARCOグランバザールCMソング,"作詞：SPIN / Rap詞：櫻井翔 / 作曲：Peter Bjorklund, Joel Eriksson / 編曲：ha-j",アルバム,19,2,20241110 08:40:26
66,RAINBOW,いざッ、Now,2004,,作詞：久保田洋司 / Rap詞：櫻井翔 / 作曲：コモリタミノル / 編曲：石塚知生,アルバム,1,0,20241110 08:40:26
67,優しくって少しバカ,いざッ、Now,2004,,作詞・作曲：井上貴志 / 編曲：ha-j,アルバム,1,1,20241110 08:40:26
68,Dear My Friend,いざッ、Now,2004,,作詞：小川貴史 / 作曲・編曲：関淳二郎,アルバム,1,1,20241110 08:40:26
69,君だけを想ってる,いざッ、Now,2004,,作詞：久保田洋司 / 作曲：馬飼野康二 / 編曲：大坪直樹,アルバム,1,1,20241110 08:40:26
70,チェックのマフラー,いざッ、Now,2004,,作詞：TAKESHI / 作曲：森元康介 / 編曲：岩田雅之,アルバム,1,0,20241110 08:40:26
71,途中下車,いざッ、Now | 5×5 THE BEST SELECTION OF 2002←2004,2004,,作詞：SPIN / 作曲：森元康介 / 編曲：岩田雅之,アルバム,1,1,20241110 08:40:26
72,La tormenta 2004,5×5 THE BEST SELECTION OF 2002←2004,2004,,作詞：ミウラタカシ / Rap詞：櫻井翔 / 作曲・編曲：吉岡たく,アルバム,94,7,20241110 08:40:26
73,スケッチ,スケッチ | ウラ嵐マニア,2004,,"作詞：二宮和也, 櫻井翔 / 作曲：二宮和也 / 編曲：ha-j, 櫻井翔, 二宮和也",アルバム,114,1,20241110 08:40:26
74,サクラ咲ケ,サクラ咲ケ | One,2005,城南予備校 CMソング,作詞：相田毅 / Rap詞：櫻井翔 / 作曲：谷本新 / 編曲：石塚知生,シングル,244,18,20241110 08:40:26
75,手つなごぉ,サクラ咲ケ | ウラ嵐マニア,2005,,作詞：樽木栄一郎 / 作曲・編曲：AKIRA,カップリング,1,0,20241110 08:40:26
76,WISH,WISH | ARASHIC,2005,TBS系ドラマ「花より男子」主題歌/静岡放送「みちブラっ!静岡十八番」エンディングテーマ,作詞：久保田洋司 / 作曲：オオヤギヒロオ / 編曲：CHOKKAKU,シングル,94,8,20241110 08:40:26
77,イチオクノホシ,WISH | ウラ嵐マニア,2005,,作詞：SPIN / 作曲：Kazz / 編曲：ha-j,カップリング,1,1,20241110 08:40:26
78,二人の記念日,WISH | ウラ嵐マニア,2005,,作詞・作曲：安田信二 / Rap詞：櫻井翔,カップリング,59,0,20241110 08:40:26
79,夏の名前,One,2005,,"作詞：hamai / Rap詞：櫻井翔 / 作曲：原田勝通 / 編曲：ha-j, 吉岡たく",アルバム,67,1,20241110 08:40:26
80,ROMANCE,One,2005,,作詞：HigherF / 作曲：ジョーイ・カボーン / 編曲：大坪直樹,アルバム,1,0,20241110 08:40:26
81,Lai-Lai-Lai,One,2005,,"作詞：SPIN / 作曲：磯崎健史 / 編曲：ha-j, 吉岡たく",アルバム,1,0,20241110 08:40:26
82,Days,One,2005,,作詞：北川暁 / 作曲：宮﨑歩 / 編曲：長岡成貢,アルバム,1,0,20241110 08:40:26
83,素晴らしき世界,One,2005,フジテレビ系「まごまご嵐」エンディングソング,"作詞：オーノカズナリ, SPIN / Rap詞：櫻井翔 / 作曲：宮下典由 / 編曲：石塚知生",アルバム,758,3,20241110 08:40:26
84,Yes? No?,One,2005,,作詞：相田毅 / Rap詞：櫻井翔 / 作曲：谷本新 / 編曲：石塚知生,アルバム,50,2,20241110 08:40:26
85,風見鶏,One,2005,,作詞・作曲：依田和夫 / 編曲：岩田雅之,アルバム,1,0,20241110 08:40:26
86,きっと大丈夫,きっと大丈夫 | ARASHIC,2006,ハウスウェルネスフーズ「C1000×嵐編」CMソング,作詞：SPIN / Rap詞：櫻井翔 / 作曲・編曲：Shinnosuke,シングル,956,16,20241110 08:40:26
87,春風スニーカー,きっと大丈夫 | ウラ嵐マニア,2006,花王「8×4パウダースプレー」CMソング,作詞：北川暁 / 作曲：Trevor Ingram / 編曲：CHOKKAKU,カップリング,78,0,20241110 08:40:26
88,NA! NA! NA!!,きっと大丈夫 | ウラ嵐マニア,2006,,作詞：SPIN / Rap詞：櫻井翔 / 作曲：飯田建彦 / 編曲：ha-j,カップリング,214,1,20241110 08:40:26
89,アオゾラペダル,アオゾラペダル | Time,2006,映画「ハチミツとクローバー」エンディングテーマ,作詞・作曲：スガシカオ / 編曲：石塚知生,シングル,106,7,20241110 08:40:26
90,Kissからはじめよう,アオゾラペダル | ウラ嵐マニア,2006,花王「8×4パウダースプレー」CMソング,作詞：youth case / 作曲：velvetronica / 編曲：ha-j,カップリング,40,1,20241110 08:40:26
91,夏の終わりに想うこと,アオゾラペダル | ウラ嵐マニア,2006,,作詞：小川貴史 / 作曲・編曲：上野浩司,カップリング,5,1,20241110 08:40:26
92,ランナウェイ・トレイン,ARASHIC,2006,,"作詞：SPIN / Rap詞：櫻井翔 / 作曲：Anthony Little, Rick Kelly / 編曲：鈴木雅也",アルバム,189,0,20241110 08:40:26
93,Raise Your Hands,ARASHIC,2006,,"作詞：SPIN / Rap詞：櫻井翔 / 作曲：Stefan Olsson, Tim Norell / 編曲：安部潤",アルバム,2,0,20241110 08:40:26
94,Ready To Fly,ARASHIC,2006,,作詞：masa-ya / 作曲：家原正樹 / 編曲：石塚知生,アルバム,2,0,20241110 08:40:26
95,キャラメル・ソング,ARASHIC,2006,,作詞：小川貴史 / 作曲：松下典由 / 編曲：高橋哲也,アルバム,1,0,20241110 08:40:26
96,COOL & SOUL,ARASHIC,2006,,作詞：SPIN / All Rap presented by 櫻井翔 / 作曲・編曲：吉岡たく,アルバム,250,5,20241110 08:40:26
97,旅立ちの朝,ARASHIC,2006,,"作詞：SPIN / 作曲・編曲：Shusui, Stefan Aberg, Fredrik Hult, Ola Larsson",アルバム,1,0,20241110 08:40:26
98,I Want Somebody,ARASHIC,2006,,"作詞：Axel G / 作曲・編曲：Shusui, Stefan Aberg, Fredrik Hult, Ola Larsson",アルバム,1,2,20241110 08:40:26
99,Secret Eyes,ARASHIC,2006,,作詞：Erykah / Rap詞：櫻井翔 / 作曲：Gajin / 編曲：岩田雅之,アルバム,1,0,20241110 08:40:26
100,超²ありがとう,ARASHIC,2006,,"作詞：Erykah / 作曲：Henrik Rongedal, Maguns Rongedal / 編曲：岩田雅之",アルバム,1,0,20241110 08:40:26
101,CARNIVAL NIGHT part2,ARASHIC,2006,,作詞：久保田洋司 / 作曲：上野浩司 / 編曲：長岡成貢,アルバム,413,13,20241110 08:40:26
102,シルバーリング,ARASHIC,2006,,作詞：山本成美 / 作曲：北川吟 / 編曲：若草恵,アルバム,1,0,20241110 08:40:26
103,LOVE PARADE,ARASHIC,2006,,"作詞：仲山卯月 / 作曲：土井瞬, 土岐健一 / 編曲：船山基紀",アルバム,1,0,20241110 08:40:26
104,Love so sweet,Love so sweet | Time,2007,TBS系ドラマ「花より男子2」主題歌/キリン「午後の紅茶」CMソング,作詞：SPIN / 作曲：youth case / 編曲：Mugen,シングル,554,21,20241110 08:40:26
105,いつまでも,Love so sweet | ウラ嵐マニア,2007,,作詞：SPIN / Rap詞：櫻井翔 / 作曲：多田慎也 / 編曲：ha-j,カップリング,226,1,20241110 08:40:26
106,ファイトソング,Love so sweet | ウラ嵐マニア,2007,日本テレビ系「Gの嵐!」公式応援歌,作詞：嵐 / 作曲：二宮和也 / 編曲：北川吟,カップリング,71,16,20241110 08:40:26
107,We can make it!,We can make it! | Time,2007,日本テレビ系ドラマ「バンビ～ノ!」主題歌,"作詞：UNITe / Rap詞：櫻井翔 / 作曲：Ander Wikstrom, Fredrik Thomander / 編曲：鈴木雅也",シングル,144,3,20241110 08:40:26
108,Di-Li-Li,We can make it! | ウラ嵐マニア,2007,ハウスウェルネスフーズ「C1000」CMソング/C1000×嵐'07キャンペーンソング,作詞・作曲：北川暁 / Rap詞：櫻井翔 / 編曲：鈴木雅也,カップリング,18,1,20241110 08:40:26
109,Future,We can make it! | ウラ嵐マニア,2007,,作詞・作曲：100+ / Rap詞：櫻井翔 / 編曲：ha-j,カップリング,16,1,20241110 08:40:26
110,Happiness,"Happiness | Dream""A""live",2007,TBS系ドラマ「山田太郎ものがたり」主題歌,作詞：Wonderland / 作曲：岡田実音 / 編曲：北川吟,シングル,439,20,20241110 08:40:26
111,Still...,Happiness | ウラ嵐マニア,2007,フジテレビ系「まごまご嵐」エンディングソング/TBS系「ひみつの嵐ちゃん!」最終回エンディング曲,作詞・作曲：多田慎也 / Rap詞：櫻井翔 / 編曲：NAOKI-T,カップリング,708,6,20241110 08:40:26
112,Snowflake,Happiness | ウラ嵐マニア,2007,,作詞：小川貴史 / 作曲・編曲：HYDRANT,カップリング,3,0,20241110 08:40:26
113,Oh Yeah!,Time,2007,ハウスウェルネスフーズ「C1000レモンウォーター」CMソング,作詞：UNITe / 作曲：オーノカズナリ / 編曲：北川吟,アルバム,603,17,20241110 08:40:26
114,WAVE,Time,2007,,作詞：UNITe / Rap詞：櫻井翔 / 作曲：Erik Lidbom / 編曲：安部潤,アルバム,2,2,20241110 08:40:26
115,Firefly,Time,2007,,作詞：Makoto ATOZI / Rap詞：櫻井翔 / 作曲・編曲：笹本安詞,アルバム,1,0,20241110 08:40:26
116,太陽の世界,Time,2007,,作詞・作曲：HYDRANT / Rap詞：櫻井翔 / 編曲：大坪直樹,アルバム,96,1,20241110 08:40:26
117,Carry on,Time,2007,,作詞：村野直球 / 作曲・編曲：岩田雅之,アルバム,1,0,20241110 08:40:26
118,ROCK YOU,Time,2007,,作詞：youth case / Rap詞：櫻井翔 / 作曲・編曲：Takuya Harada,アルバム,348,2,20241110 08:40:26
119,Cry for you,Time,2007,,"作詞：Axel G / Rap詞：櫻井翔 / 作曲：Jorge Ringqvist, Jakob Ringbom / 編曲：ha-j",アルバム,1,1,20241110 08:40:26
120,Love Situation,Time,2007,,作詞：はしもとみゆき / 作曲・編曲：Shinnosuke,アルバム,797,4,20241110 08:40:26
121,風,Time,2007,,作詞：SPIN / Rap詞：櫻井翔 / 作曲：多田慎也 / 編曲：NAOKI-T,アルバム,189,1,20241110 08:40:26
122,Be with you,Time,2007,,作詞・作曲：北浦正尚 / 編曲：ha-j,アルバム,0,1,20241110 08:40:26
123,LIFE,Time,2007,エイブル CMソング,作詞：みうらともかず / Rap詞：櫻井翔 / 作曲：オーノカズナリ / 編曲：石塚知生,アルバム,7,0,20241110 08:40:26
124,Everybody前進,Time,2007,,"作詞：久保田洋司 / 作曲・編曲：Shusui, Stefan Åberg",アルバム,2,3,20241110 08:40:26
125,Step and Go,"Step and Go | Dream""A""live",2008,フジテレビ系「GRA」エンディングテーマ,作詞：Wonderland / Rap詞：櫻井翔 / 作曲：youth case / 編曲：吉岡たく,シングル,762,11,20241110 08:40:26
126,冬を抱きしめて,Step and Go | ウラ嵐マニア,2008,,作詞：藤瀬聖・杉山勝彦 / 作曲：杉山勝彦 / 編曲：石塚知生 ,カップリング,2,0,20241110 08:40:26
127,One Love,One Love,2008,映画「花より男子F」主題歌,作詞：youth case / 作曲：加藤裕介 / 編曲：石塚知生,シングル,427,11,20241110 08:40:26
128,How to fly,One Love | ウラ嵐マニア,2008,,"作詞：UNITe / 作曲：R.P.P., Anderz Wrethov",カップリング,1,0,20241110 08:40:26
129,truth,truth/風の向こうへ,2008,TBS系ドラマ「魔王」主題歌,作詞・作曲：HYDRANT / 編曲：前口渉,シングル,359,8,20241110 08:40:26
130,風の向こうへ,truth/風の向こうへ,2008,日本テレビ系「GO!北京」テーマソング,"作詞：多田慎也 / Rap詞：櫻井翔 / 作曲：Pippi Svensson, Ander Dannvik / 編曲：Hans Johnson",シングル,565,5,20241110 08:40:26
131,スマイル,truth/風の向こうへ | ウラ嵐マニア,2008,ハウス食品「とんがりコーン」嵐スケートボード編CMソング,"作詞・作曲：Erik Lidbom, youth case / 編曲：北川吟",カップリング,16,1,20241110 08:40:26
132,Beautiful days,Beautiful days,2008,TBS系ドラマ「流星の絆」主題歌,作詞・作曲：Takuya Harada / 編曲：ha-j,シングル,12,3,20241110 08:40:26
133,僕が僕のすべて,Beautiful days | ウラ嵐マニア,2008,au by KDDI「au BOX」CMソング,作詞：100+ / 作曲・編曲：加藤裕介,カップリング,48,2,20241110 08:40:26
134,忘れられない,Beautiful days | ウラ嵐マニア,2008,,作詞：Arika / 作曲：HIKARI / 編曲：佐々木博史,カップリング,1,0,20241110 08:40:26
135,Move your body,"Dream""A""live",2008,,作詞：HYDRANT / Rap詞：櫻井翔 / 作曲：Mike Rose / 編曲：ha-j,アルバム,4,0,20241110 08:40:26
136,虹の彼方へ,"Dream""A""live",2008,,作詞：みうらともかず / Rap詞：櫻井翔 / 作曲：吉川慶 / 編曲：鈴木雅也,アルバム,71,0,20241110 08:40:26
137,Do my best,"Dream""A""live",2008,NHK総合「グッと!スポーツ」テーマ曲,作詞・作曲：youth case / 編曲：ha-j,アルバム,156,0,20241110 08:40:26
138,シリウス,"Dream""A""live",2008,,作詞：UNITe / 作曲：小林建樹 / 編曲：石塚知生,アルバム,1,0,20241110 08:40:26
139,Flashback,"Dream""A""live",2008,,作詞：小川貴史 / Rap詞：櫻井翔 / 作曲：今井晶規 / 編曲：安部潤,アルバム,1,0,20241110 08:40:26
140,Dive into the future,"Dream""A""live",2008,,"作詞：UNITe / 作曲：Mattias Hakansson, Carl Utbult, Anton Malmberg / 編曲：岩田雅之",アルバム,1,0,20241110 08:40:26
141,声,"Dream""A""live",2008,,作詞：小川貴史 / 作曲：多田慎也 / 編曲：NAOKI-T,アルバム,1,0,20241110 08:40:26
142,My Answer,"Dream""A""live",2008,,作詞：作曲・編曲：笹本安詞 / Rap詞：櫻井翔,アルバム,28,0,20241110 08:40:26
143,Life goes on,"Dream""A""live",2008,,作詞：多田慎也 / 作曲・編曲：岩田雅之,アルバム,6,0,20241110 08:40:26
144,YOUR SONG,"Dream""A""live",2008,観光立国ナビゲーター 観光大使 Arashi Message from Japan CMソング,作詞・作曲：杉山勝彦 / 編曲：高橋哲也,アルバム,8,0,20241110 08:40:26
145,Once Again,"Dream""A""live",2008,,"作詞：Wonderland / Rap詞：櫻井翔 / 作曲：Alfred Tuohey, Thanh Bui / 編曲：CHOKKAKU",アルバム,1,0,20241110 08:40:26
146,Re(mark)able,ARASHI IS ALIVE! | All the BEST! 1999-2009 | ウラ嵐マニア,2008,,作詞：R.P.P / All Rap presented by 櫻井翔 / 作曲・編曲：吉岡たく,アルバム,553,3,20241110 08:40:26
